株式コード,資本金,提出者名,提出者業種,企業名,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,設立年月日,上場年月日,従業員数(連結),平均年齢,平均年収
7202.T,40644.0,いすゞ自動車株式会社,輸送用機器,いすゞ自動車株式会社,25.8,60.7,2.7,2.6,3.0,2.7,2.9,2.5,4.3,2.5,1937年4月9日,1949年5月,"36,882人",41.3歳,"7,590千円"
3402.T,147873.0,東レ株式会社,その他製品,東レ株式会社,28.5,69.3,2.8,2.8,3.0,3.3,2.9,3.2,4.7,2.7,1926年1月12日,1949年5月,"46,267人",39.0歳,"6,710千円"
6965.T,34964.0,浜松ホトニクス株式会社,電気機器,浜松ホトニクス株式会社,18.3,71.1,3.4,3.2,3.5,3.3,2.8,3.1,4.4,2.3,1953年9月29日,1984年8月22日,"5,181人",40.3歳,"6,910千円"
7532.T,22699.0,株式会社パン・パシフィック・インターナショナルホールディングス,小売業,株式会社パン・パシフィック・インターナショナルホールディングス,37.6,47.2,2.4,3.2,3.1,2.9,3.4,2.3,3.1,3.4,1980年9月5日,1996年12月17日,"16,838人",39.7歳,"6,040千円"
4385.T,8789.0,株式会社メルカリ,情報・通信業,株式会社メルカリ,22.3,80.8,4.1,3.5,3.8,3.9,3.7,2.5,3.6,3.4,2013年2月1日,2018年6月19日,"1,752人",None,None
8308.T,50552.0,株式会社りそなホールディングス,銀行業,株式会社りそなホールディングス,25.3,72.6,2.5,2.6,3.8,3.0,2.6,2.5,4.8,2.5,2001年12月12日,2001年12月11日,"20,712人",40.0歳,"6,620千円"
6963.T,86969.0,ローム株式会社,電気機器,ローム株式会社,28.8,55.3,3.4,2.7,2.7,2.7,3.6,2.4,4.0,2.8,1958年9月17日,1983年11月1日,"22,830人",40.9歳,"7,090千円"
3092.T,1359.0,株式会社ＺＯＺＯ,小売業,株式会社ZOZO,16.9,80.5,2.8,3.0,4.1,3.9,2.8,2.3,3.8,2.7,2000年4月,2007年12月11日,"1,331人",33.0歳,"5,470千円"
7272.T,85905.0,ヤマハ発動機株式会社,輸送用機器,ヤマハ発動機株式会社,20.7,67.5,3.4,3.0,4.0,3.4,3.1,2.8,4.5,2.8,1955年7月1日,1961年9月,"51,879人",43.3歳,"7,140千円"
7951.T,28534.0,ヤマハ株式会社,その他製品,ヤマハ株式会社,21.1,55.6,4.0,3.0,3.6,3.2,2.8,2.8,4.8,2.8,1897年10月12日,1949年5月,"20,144人",44.5歳,"8,840千円"
4751.T,7203.0,株式会社サイバーエージェント,サービス業,株式会社サイバーエージェント,46.1,50.7,3.1,4.6,4.5,4.5,4.8,2.8,2.8,3.7,1998年3月18日,2000年3月24日,"5,958人",33.2歳,"7,330千円"
4768.T,10374.0,株式会社大塚商会,情報・通信業,株式会社大塚商会,35.8,37.1,3.5,2.9,2.6,2.8,3.9,2.5,2.9,4.3,1961年12月13日,2000年7月14日,"9,340人",41.3歳,"8,430千円"
2269.T,30000.0,明治ホールディングス株式会社,食料品,明治ホールディングス株式会社,None,None,3.2,3.0,3.2,3.0,2.9,2.9,3.2,3.0,2009年4月1日,2009年4月1日,"17,832人",44.1歳,"9,980千円"
8601.T,247397.0,株式会社大和証券グループ本社,証券、商品先物取引業,株式会社大和証券グループ本社,22.2,71.9,4.2,2.9,3.3,3.0,3.7,3.8,4.6,4.5,1943年12月27日,1961年10月,"15,332人",42.1歳,"10,070千円"
3283.T,,日本プロロジスリート投資法人,その他金融業,日本プロロジスリート投資法人,None,None,None,None,None,None,None,None,None,None,None,2013年2月14日,None,None,None
4062.T,64152.0,イビデン株式会社,電気機器,イビデン株式会社,40.1,47.7,2.8,2.2,2.6,2.7,3.2,2.3,3.2,2.9,1912年11月25日,1949年5月,"13,046人",40.9歳,"6,840千円"
9201.T,181352.0,日本航空株式会社,空運業,日本航空株式会社（JAL）,12.8,79.4,2.9,3.7,3.0,4.4,2.9,3.3,4.8,2.6,1953年10月1日,2012年9月19日,"36,060人",39.2歳,"6,780千円"
9005.T,121724.0,東急株式会社,陸運業,東急株式会社,26.7,65.4,2.3,2.9,3.5,4.1,2.4,2.9,5.0,2.1,1922年9月2日,1949年5月,"24,963人",42.6歳,"7,620千円"
4021.T,18942.0,日産化学株式会社,化学,日産化学株式会社,28.3,60.7,4.3,3.1,4.0,3.6,3.1,2.8,4.5,2.6,1921年4月7日,1949年5月,"2,736人",40.0歳,"8,060千円"
9503.T,489320.0,関西電力株式会社,電気・ガス業,関西電力株式会社,27.7,80.7,3.6,2.8,3.0,3.7,2.6,3.0,4.7,2.7,1951年5月1日,1951年7月,"32,612人",43.1歳,"8,360千円"
4704.T,18386.0,トレンドマイクロ株式会社,情報・通信業,トレンドマイクロ株式会社,25.0,69.3,3.2,3.1,4.0,3.8,3.2,2.7,4.4,2.9,1989年10月24日,1998年8月18日,"6,972人",39.5歳,"9,210千円"
5332.T,35579.0,ＴＯＴＯ株式会社,ガラス・土石製品,TOTO株式会社,21.4,73.7,3.6,3.1,3.6,3.7,2.9,3.1,4.8,2.7,1917年5月15日,1949年5月,"33,800人",43.4歳,"6,690千円"
9104.T,65400.0,株式会社商船三井,海運業,株式会社商船三井,40.2,53.3,4.6,3.5,4.0,4.0,3.2,3.1,4.3,2.8,1884年5月1日,1949年7月,"8,571人",37.9歳,"10,260千円"
2267.T,31117.0,株式会社ヤクルト本社,食料品,株式会社ヤクルト本社,18.1,45.9,3.3,2.6,2.7,3.4,2.5,2.5,3.8,2.1,1955年4月9日,1980年1月,"28,798人",42.3歳,"7,740千円"
8952.T,,ジャパンリアルエステート投資法人,不動産業,ジャパンリアルエステート投資法人,None,None,None,None,None,None,None,None,None,None,None,2001年9月10日,None,None,None
5486.T,26284.0,日立金属株式会社,金属,日立金属株式会社,29.6,43.0,2.9,2.5,2.8,2.7,2.8,2.6,3.4,2.7,1956年4月10日,1961年10月,"28,278人",43.4歳,"6,460千円"
4739.T,21764.0,伊藤忠テクノソリューションズ株式会社,情報・通信業,伊藤忠テクノソリューションズ株式会社,32.8,61.2,3.7,3.1,3.9,3.1,3.5,2.8,4.4,3.0,1979年7月11日,1999年12月14日,"9,308人",40.7歳,"9,330千円"
7011.T,265608.0,三菱重工業株式会社,機械,三菱重工業株式会社,30.9,51.1,3.8,2.9,2.8,3.0,3.0,2.9,4.7,2.5,1950年1月11日,1950年5月,"79,974人",41.3歳,"8,590千円"
9502.T,430777.0,中部電力株式会社,電気・ガス業,中部電力株式会社,28.5,62.7,3.9,2.7,3.1,3.6,2.4,3.0,4.8,2.7,1951年5月1日,1951年8月,"28,238人",43.6歳,"8,490千円"
3038.T,500.0,株式会社神戸物産,卸売業,株式会社神戸物産,22.3,83.2,2.7,3.1,2.8,2.5,2.6,2.6,3.0,2.9,1991年4月,2006年6月8日,"1,372人",38.8歳,"4,840千円"
1878.T,29060.0,大東建託株式会社,建設業,大東建託株式会社,52.4,49.3,3.5,3.1,2.5,2.2,2.8,2.2,3.0,4.5,1974年6月20日,1989年3月17日,"17,892人",43.5歳,"7,830千円"
5019.T,168351.0,出光興産株式会社,石油・石炭製品,出光興産株式会社,23.8,68.5,4.1,3.0,2.9,3.6,3.1,3.5,3.7,2.9,1940年3月30日,2006年10月24日,"14,044人",43.1歳,"8,550千円"
4005.T,89699.0,住友化学株式会社,化学,住友化学株式会社,26.9,58.0,3.5,2.8,2.9,3.1,2.8,2.8,4.9,2.7,1925年6月1日,1949年5月,"34,743人",41.0歳,"8,550千円"
9531.T,141844.0,東京瓦斯株式会社,電気・ガス業,東京ガス株式会社,19.4,67.5,4.3,3.0,3.8,4.0,2.9,3.3,4.9,2.9,1885年10月1日,1949年5月,"16,988人",42.3歳,"6,670千円"
4204.T,100002.0,積水化学工業株式会社,化学,積水化学工業株式会社,26.8,47.7,4.3,2.9,3.6,3.2,3.2,2.8,3.7,3.1,1947年3月3日,1953年3月,"26,486人",43.0歳,"8,690千円"
3281.T,,GLP投資法人,その他金融業,日本GLP株式会社,18.0,74.8,4.2,4.2,3.8,3.8,3.8,2.9,3.7,3.0,None,2012年12月21日,None,None,None
3626.T,10001.0,ＴＩＳ株式会社,情報・通信業,TIS株式会社,27.3,63.7,2.9,2.9,3.9,3.3,3.2,2.9,4.6,3.1,2008年4月1日,2008年4月1日,"22,487人",40.6歳,"7,170千円"
2897.T,25122.0,日清食品ホールディングス株式会社,食料品,日清食品ホールディングス株式会社,23.5,63.5,3.7,2.9,2.8,3.0,2.7,2.4,3.5,2.8,1948年9月4日,1963年10月,"14,184人",40.4歳,"8,000千円"
3003.T,62718.0,ヒューリック株式会社,不動産業,ヒューリック株式会社,25.4,80.1,4.2,3.4,3.2,2.4,3.8,2.6,4.7,2.9,1931年3月30日,1949年5月,"1,648人",39.4歳,"17,080千円"
9435.T,54259.0,株式会社光通信,情報・通信業,株式会社光通信,36.3,44.8,2.7,3.4,3.1,2.9,4.3,1.9,3.1,4.3,1988年2月5日,1996年2月27日,"6,646人",35.1歳,"7,380千円"
9042.T,99474.0,阪急阪神ホールディングス株式会社,陸運業,阪急阪神ホールディングス株式会社,22.3,52.6,3.7,3.0,3.2,3.4,2.8,2.9,4.3,2.6,1907年10月19日,1949年5月,"23,192人",42.7歳,"8,640千円"
3141.T,7736.0,ウエルシアホールディングス株式会社,小売業,ウエルシアホールディングス株式会社,22.2,48.3,3.0,2.8,3.0,3.1,3.3,2.7,3.4,2.9,2008年9月1日,2008年9月1日,"11,708人",58.3歳,"8,310千円"
4922.T,4848.0,株式会社コーセー,化学,株式会社コーセー,14.0,58.7,2.4,2.9,2.9,3.2,2.7,2.4,4.0,2.3,1948年6月11日,1999年12月16日,"8,912人",41.7歳,"8,180千円"
6753.T,5000.0,シャープ株式会社,電気機器,シャープ株式会社,22.4,60.4,2.6,2.6,3.0,3.3,2.9,2.5,4.4,2.8,1935年5月2日,1949年5月,"49,965人",45.7歳,"7,430千円"
9007.T,60359.0,小田急電鉄株式会社,陸運業,小田急電鉄株式会社,22.3,80.6,3.3,2.6,2.8,3.9,2.1,2.7,4.7,2.6,1948年6月1日,1949年5月,"13,861人",40.3歳,"7,200千円"
8795.T,207111.0,株式会社Ｔ＆Ｄホールディングス,保険業,株式会社T&Dホールディングス,None,None,None,None,None,None,None,None,None,None,2004年4月1日,2004年4月1日,"20,036人",46.1歳,"10,470千円"
9532.T,132166.0,大阪瓦斯株式会社,電気・ガス業,大阪ガス株式会社,26.3,58.7,4.0,3.0,3.9,3.9,2.8,3.2,4.8,2.9,1897年4月15日,1949年5月,"21,256人",43.9歳,"6,540千円"
3462.T,,野村不動産マスターファンド投資法人,その他金融業,野村不動産マスターファンド投資法人,None,None,None,None,None,None,None,None,None,None,None,2015年10月2日,None,None,None
3291.T,10000.0,飯田グループホールディングス株式会社,不動産業,飯田グループホールディングス株式会社,22.0,69.4,2.8,2.8,2.7,2.8,2.7,2.6,3.5,3.0,2013年11月1日,2013年11月1日,"10,134人",42.4歳,"7,330千円"
7912.T,114464.0,大日本印刷株式会社,その他製品,大日本印刷株式会社,30.8,51.0,2.7,2.5,3.0,2.9,2.8,2.6,4.7,2.5,1894年1月19日,1949年5月,"36,900人",42.8歳,"7,660千円"
9684.T,23664.0,株式会社スクウェア・エニックス・ホールディングス,情報・通信業,株式会社スクウェア・エニックス・ホールディングス,None,None,3.0,3.0,3.2,3.0,3.2,3.0,3.2,3.0,1980年2月5日,1991年2月1日,"5,550人",47.3歳,"14,690千円"
7181.T,500000.0,株式会社かんぽ生命保険,保険業,株式会社かんぽ生命保険,11.6,86.4,2.8,2.4,2.6,2.7,2.3,2.5,4.4,2.5,2006年9月1日,2015年11月4日,"8,400人",39.9歳,"6,400千円"
6305.T,81577.0,日立建機株式会社,機械,日立建機株式会社,26.7,53.8,3.4,2.7,3.1,3.0,2.8,2.6,4.4,2.7,1970年10月1日,1981年12月17日,"24,937人",39.9歳,"7,020千円"
4967.T,3450.0,小林製薬株式会社,化学,小林製薬株式会社,26.3,54.5,3.4,3.2,4.1,3.3,3.4,2.7,4.3,2.8,1919年8月22日,1999年4月20日,"3,473人",40.4歳,"6,760千円"
9719.T,21152.0,ＳＣＳＫ株式会社,情報・通信業,SCSK株式会社,23.4,88.9,2.8,2.9,3.6,3.3,2.9,3.1,4.7,2.7,1969年10月25日,1989年2月28日,"14,983人",43.5歳,"7,520千円"
3349.T,4178.0,株式会社コスモス薬品,小売業,株式会社コスモス薬品,13.5,48.2,2.4,3.3,3.3,3.9,3.0,2.5,4.7,3.0,1991年4月,2004年11月11日,"4,872人",29.9歳,"4,150千円"
7747.T,18860.0,朝日インテック株式会社,精密機器,朝日インテック株式会社,23.7,54.1,2.9,2.7,3.2,3.0,2.4,2.1,4.5,2.5,1976年7月8日,2004年7月1日,"9,409人",36.4歳,"6,130千円"
8439.T,81129.0,東京センチュリー株式会社,その他金融業,東京センチュリー株式会社,22.3,66.2,3.6,2.8,2.7,2.8,2.7,2.7,4.6,2.6,1969年7月1日,2003年9月18日,"7,559人",43.3歳,"8,560千円"
4613.T,25658.0,関西ペイント株式会社,化学,関西ペイント株式会社,21.0,59.3,3.9,2.9,4.1,3.6,2.9,2.6,3.9,2.7,1918年5月17日,1949年5月,"15,908人",43.1歳,"8,150千円"
2702.T,24113.0,日本マクドナルドホールディングス株式会社,小売業,日本マクドナルドホールディングス株式会社,39.8,41.6,3.0,3.1,2.5,4.0,4.2,2.7,3.4,2.9,1971年5月1日,2001年7月26日,"2,083人",None,None
1812.T,81447.0,鹿島建設株式会社,建設業,鹿島建設株式会社,53.0,37.1,4.2,3.8,3.5,4.0,3.5,3.6,4.4,3.1,1930年2月22日,1961年10月,"19,284人",44.1歳,"11,350千円"
9107.T,75457.0,川崎汽船株式会社,海運業,川崎汽船株式会社,47.0,61.7,4.0,2.8,3.9,3.7,3.4,2.7,3.9,2.4,1919年4月5日,1950年1月,"5,760人",38.9歳,"9,060千円"
1802.T,57752.0,株式会社大林組,建設業,株式会社大林組,59.4,32.0,4.1,3.6,3.4,3.8,3.2,3.3,3.9,3.0,1936年12月19日,1958年12月,"15,703人",42.6歳,"10,320千円"
9041.T,126476.0,近鉄グループホールディングス株式会社,陸運業,近鉄グループホールディングス株式会社,17.2,53.3,3.5,2.4,2.4,3.3,2.6,2.6,4.8,2.2,1944年6月1日,1949年5月,"30,343人",45.7歳,"7,210千円"
7911.T,104986.0,凸版印刷株式会社,その他製品,凸版印刷株式会社,34.9,48.7,2.3,2.6,3.2,3.0,2.9,2.8,4.4,2.5,1908年6月4日,1949年5月,"52,401人",42.8歳,"6,770千円"
9697.T,33239.0,株式会社カプコン,情報・通信業,株式会社カプコン,27.9,64.6,2.5,3.2,2.8,3.3,3.2,2.5,4.1,2.6,1979年5月30日,1990年10月16日,"3,319人",37.1歳,"6,030千円"
9062.T,70175.0,日本通運株式会社,陸運業,日本通運株式会社,29.3,38.3,2.4,2.5,2.8,3.0,2.5,2.7,4.6,2.3,1937年10月1日,1950年2月,"73,970人",43.7歳,"5,670千円"
3391.T,6563.0,株式会社ツルハホールディングス,小売業,株式会社ツルハホールディングス,31.1,15.5,2.5,2.7,3.1,3.0,3.1,2.2,3.5,3.0,1963年6月1日,2005年11月16日,"10,822人",45.0歳,"6,540千円"
7261.T,283957.0,マツダ株式会社,輸送用機器,マツダ株式会社（自動車）,20.2,77.9,2.7,2.9,3.3,3.3,2.9,2.8,4.7,3.2,1920年1月30日,1949年5月,"49,786人",41.5歳,"6,280千円"
2651.T,58506.0,株式会社ローソン,小売業,株式会社ローソン,28.9,44.0,3.0,2.8,3.1,3.0,2.9,2.6,3.8,3.1,1975年4月15日,2000年7月26日,"10,385人",40.7歳,"6,200千円"
4536.T,8525.0,参天製薬株式会社,医薬品,参天製薬株式会社,28.2,54.6,3.3,2.9,2.9,3.0,2.8,2.5,4.3,3.0,1925年7月4日,1963年11月,"4,260人",43.4歳,"8,260千円"
4516.T,5174.0,日本新薬株式会社,医薬品,日本新薬株式会社,18.2,52.6,4.0,3.4,3.1,3.7,3.4,3.4,4.6,2.9,1919年10月1日,1949年6月,"2,059人",41.0歳,"7,950千円"
9001.T,102135.0,東武鉄道株式会社,陸運業,東武鉄道株式会社,30.5,71.4,2.9,2.4,2.6,2.9,2.4,2.8,4.5,2.6,1897年11月1日,1949年5月,"20,077人",46.9歳,"6,690千円"
4506.T,22400.0,大日本住友製薬株式会社,医薬品,大日本住友製薬株式会社,20.3,62.9,4.0,2.8,3.5,3.6,3.1,3.0,4.8,2.9,1897年5月14日,1949年5月,"7,032人",43.1歳,"8,960千円"
8572.T,63832.0,アコム株式会社,その他金融業,アコム株式会社,19.5,81.5,3.8,2.8,3.7,3.4,2.7,3.2,4.9,3.0,1978年10月23日,1993年10月1日,"5,468人",40.5歳,"6,250千円"
8331.T,145069.0,株式会社千葉銀行,銀行業,株式会社千葉銀行,23.1,84.6,3.1,2.9,2.7,2.9,2.8,2.7,4.6,2.9,1943年3月31日,1970年10月,"4,380人",38.5歳,"7,400千円"
2002.T,17117.0,株式会社日清製粉グループ本社,食料品,株式会社日清製粉グループ本社,38.4,43.8,3.8,2.8,2.5,2.7,3.2,2.6,4.8,2.6,1907年3月12日,1949年5月,"9,060人",42.1歳,"8,790千円"
2875.T,18969.0,東洋水産株式会社,食料品,東洋水産株式会社,22.4,51.8,2.9,2.7,2.8,2.9,2.6,2.5,4.3,2.5,1948年4月5日,1970年9月,"4,880人",40.4歳,"6,130千円"
7564.T,1622.0,株式会社ワークマン,小売業,株式会社ワークマン,29.0,34.5,3.1,2.7,3.2,2.7,3.2,2.7,2.9,2.9,1982年8月19日,1997年9月26日,None,36.9歳,"6,910千円"
9706.T,17489.0,日本空港ビルデング株式会社,不動産業,日本空港ビルデング株式会社,13.4,65.9,2.9,2.5,2.7,2.8,2.1,2.4,4.3,2.4,1953年7月20日,1990年2月8日,"3,110人",39.3歳,"6,060千円"
2331.T,18675.0,綜合警備保障株式会社,サービス業,綜合警備保障株式会社,35.2,46.2,2.4,2.4,2.4,2.9,2.3,2.2,4.2,2.6,1965年7月16日,2002年10月25日,"39,105人",40.5歳,"5,790千円"
4912.T,34433.0,ライオン株式会社,化学,ライオン株式会社,20.0,57.9,3.8,3.1,4.2,4.0,3.1,3.5,4.9,2.9,1918年9月3日,1949年5月,"7,452人",43.7歳,"6,920千円"
7731.T,65476.0,株式会社ニコン,精密機器,株式会社ニコン,17.6,57.3,3.4,2.5,2.8,2.9,2.5,2.5,4.7,2.7,1917年7月25日,1949年5月,"19,357人",43.4歳,"7,380千円"
6324.T,7100.0,株式会社ハーモニック・ドライブ・システムズ,機械,株式会社ハーモニック・ドライブ・システムズ,23.7,43.5,3.1,3.0,2.9,2.9,2.9,2.8,2.9,2.9,1970年10月27日,1998年3月20日,"1,104人",41.3歳,"6,910千円"
4581.T,30000.0,大正製薬ホールディングス株式会社,医薬品,大正製薬ホールディングス株式会社,28.7,42.1,3.0,2.5,2.4,3.0,2.3,2.3,3.9,2.3,2011年10月3日,2011年10月3日,"9,254人",45.2歳,"8,660千円"
9506.T,251441.0,東北電力株式会社,電気・ガス業,東北電力株式会社,23.3,61.0,3.7,2.6,2.8,3.3,2.2,2.7,4.8,2.7,1951年5月1日,1951年10月,"24,717人",43.3歳,"7,750千円"
6952.T,48592.0,カシオ計算機株式会社,電気機器,カシオ計算機株式会社,23.2,45.6,3.3,2.5,3.0,2.9,2.8,2.3,4.4,2.6,1957年6月1日,1970年9月,"10,404人",46.8歳,"8,030千円"
4587.T,3930.0,ペプチドリーム株式会社,医薬品,ペプチドリーム株式会社,None,None,None,None,None,None,None,None,None,None,2006年7月3日,2013年6月11日,None,38.2歳,"9,760千円"
9048.T,84185.0,名古屋鉄道株式会社,陸運業,名古屋鉄道株式会社,27.1,77.5,1.8,2.2,2.6,3.7,1.7,2.2,4.3,1.9,1921年6月13日,1949年5月,"29,820人",44.1歳,"5,820千円"
9533.T,33072.0,東邦瓦斯株式会社,電気・ガス業,東邦ガス株式会社,17.4,41.7,4.2,2.6,2.9,3.1,2.6,2.8,4.8,2.5,1922年6月26日,1949年5月,"6,404人",42.6歳,"5,670千円"
3292.T,,イオンリート投資法人,その他金融業,イオンリート投資法人,None,None,None,None,None,None,None,None,None,None,None,2013年11月22日,None,None,None
5105.T,55935.0,ＴＯＹＯ ＴＩＲＥ株式会社,ゴム製品,TOYO TIRE株式会社,25.6,49.4,2.4,2.4,2.6,2.6,2.6,2.3,3.1,2.5,1943年12月4日,1949年5月,"11,258人",39.2歳,"5,840千円"
7956.T,5199.0,ピジョン株式会社,その他製品,ピジョン株式会社（インテリア）,10.6,55.0,3.1,2.9,3.6,3.0,3.1,2.7,4.6,2.4,1957年8月15日,1988年9月9日,"3,886人",42.6歳,"8,080千円"
5301.T,20436.0,東海カーボン株式会社,ガラス・土石製品,東海カーボン株式会社,10.2,69.1,3.1,3.1,3.8,3.6,3.1,2.9,3.8,3.1,1918年4月8日,1949年5月,"4,242人",41.0歳,"6,690千円"
1860.T,23001.0,戸田建設株式会社,建設業,戸田建設株式会社,40.1,48.6,3.1,2.9,2.9,3.0,2.9,2.8,4.1,2.8,1936年7月10日,1969年4月,"5,707人",44.5歳,"8,580千円"
3694.T,443.0,株式会社オプティム,情報・通信業,株式会社オプティム（インターネット）,32.6,67.2,2.5,3.7,3.7,3.3,3.6,2.2,3.4,2.9,2000年6月8日,2014年10月22日,360人,33.7歳,"5,630千円"
3817.T,1000.0,株式会社ＳＲＡホールディングス,情報・通信業,株式会社SRAホールディングス,None,None,None,None,None,None,None,None,None,None,2006年5月,2006年9月30日,"1,418人",46.1歳,"6,380千円"
5982.T,3164.0,株式会社マルゼン,金属,株式会社マルゼン,51.9,20.5,2.0,2.5,2.3,2.7,2.7,2.3,2.3,2.8,1961年3月20日,1995年10月6日,"1,359人",39.9歳,"5,200千円"
1301.T,5664.0,株式会社極洋,水産・農林業,株式会社極洋,16.9,36.9,3.5,3.3,2.9,2.4,3.1,2.5,3.2,2.6,1937年9月3日,1949年5月,"2,313人",40.4歳,"6,970千円"
